image,Pred_boxes,Target_boxes,('map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes', 'time')
174_20200718013418.jpg,63,64,0.4454,0.8224,0.4494,-1.0,0.4476,0.4545,0.0141,0.1187,0.5094,-1.0,0.5113,0.45,-1.0,-1.0,0.0,0:00:00.682798
158_20200717024032.jpg,7,3,0.0192,0.0481,0.0,-1.0,0.0,0.0337,0.0,0.1333,0.1333,-1.0,0.0,0.2,-1.0,-1.0,0.0,0:00:01.146189
225_20210726112448.jpg,1,1,0.7,1.0,1.0,-1.0,0.7,-1.0,0.7,0.7,0.7,-1.0,0.7,-1.0,-1.0,-1.0,0.0,0:00:01.604859
294_20210913232026.jpg,4,2,0.303,0.505,0.505,-1.0,-1.0,0.303,0.3,0.3,0.3,-1.0,-1.0,0.3,-1.0,-1.0,0.0,0:00:02.081868
150_20200602232359.jpg,23,26,0.4106,0.7056,0.4375,-1.0,0.4226,0.5119,0.0308,0.2423,0.4769,-1.0,0.4696,0.5333,-1.0,-1.0,0.0,0:00:02.562440
290_20210909041154.jpg,7,5,0.2703,0.547,0.104,-1.0,0.1262,0.3327,0.08,0.34,0.34,-1.0,0.25,0.4,-1.0,-1.0,0.0,0:00:03.043268
268_20210806043417.jpg,4,6,0.1515,0.3366,0.1683,0.0337,0.0,0.8,0.1333,0.15,0.15,0.0333,0.0,0.8,-1.0,-1.0,0.0,0:00:03.517613
295_20210808234727.jpg,1,1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0:00:03.988632
159_20200724225946.jpg,14,11,0.2768,0.6097,0.3193,0.0,0.3171,-1.0,0.0091,0.3182,0.4091,0.0,0.45,-1.0,-1.0,-1.0,0.0,0:00:04.458361
290_20210824030857.jpg,9,5,0.497,1.0,0.5941,-1.0,0.4515,0.75,0.12,0.54,0.54,-1.0,0.45,0.9,-1.0,-1.0,0.0,0:00:04.937356
118_20200827000312.jpg,20,21,0.166,0.4307,0.0033,0.0,0.2533,0.0,0.0238,0.1143,0.2381,0.0,0.3125,0.0,-1.0,-1.0,0.0,0:00:05.420811
213_20210826223312.jpg,5,3,0.4997,1.0,0.5545,-1.0,0.2,0.7505,0.2333,0.6,0.6,-1.0,0.2,0.8,-1.0,-1.0,0.0,0:00:05.902453
126_20200730222546.jpg,12,10,0.3766,0.7115,0.2959,-1.0,0.2254,0.6337,0.09,0.46,0.46,-1.0,0.3857,0.6333,-1.0,-1.0,0.0,0:00:06.370680
268_20210818231311.jpg,3,2,0.0252,0.2525,0.0,-1.0,-1.0,0.0505,0.0,0.05,0.05,-1.0,-1.0,0.05,-1.0,-1.0,0.0,0:00:06.841576
283_20210908073727.jpg,7,1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0:00:07.311163
290_20211005163135.jpg,2,1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0:00:07.779821
150_20200702003247.jpg,9,6,0.3308,0.7492,0.0,-1.0,0.4257,0.2525,0.0833,0.3667,0.3667,-1.0,0.425,0.25,-1.0,-1.0,0.0,0:00:08.245354
294_20210811051228.jpg,14,12,0.2817,0.8537,0.1035,-1.0,0.2272,0.8,0.0667,0.275,0.3333,-1.0,0.2909,0.8,-1.0,-1.0,0.0,0:00:08.731146
255_20210916003900.jpg,7,2,0.101,0.505,0.0,-1.0,-1.0,0.101,0.1,0.1,0.1,-1.0,-1.0,0.1,-1.0,-1.0,0.0,0:00:09.199306
255_20210829002654.jpg,2,2,0.1515,0.505,0.0,-1.0,-1.0,0.1515,0.15,0.15,0.15,-1.0,-1.0,0.15,-1.0,-1.0,0.0,0:00:09.667411
