image,Pred_boxes,Target_boxes,('map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes', 'time')
174_20200718013418.jpg,72,64,0.5603,0.8194,0.6433,-1.0,0.5506,0.8252,0.0125,0.1281,0.6109,-1.0,0.6032,0.85,-1.0,-1.0,0.0,0:00:00.628917
158_20200717024032.jpg,2,3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0:00:00.729829
225_20210726112448.jpg,1,1,0.1,1.0,0.0,-1.0,0.1,-1.0,0.1,0.1,0.1,-1.0,0.1,-1.0,-1.0,-1.0,0.0,0:00:00.829948
294_20210913232026.jpg,2,2,0.4545,0.505,0.505,-1.0,-1.0,0.4545,0.45,0.45,0.45,-1.0,-1.0,0.45,-1.0,-1.0,0.0,0:00:00.939551
150_20200602232359.jpg,25,26,0.4697,0.8026,0.5859,-1.0,0.4331,0.7337,0.0269,0.2846,0.5154,-1.0,0.4826,0.7667,-1.0,-1.0,0.0,0:00:01.050305
290_20210909041154.jpg,6,5,0.4262,0.5941,0.5941,-1.0,0.0,0.7168,0.14,0.44,0.44,-1.0,0.0,0.7333,-1.0,-1.0,0.0,0:00:01.164052
268_20210806043417.jpg,6,6,0.1347,0.1683,0.1683,0.0,0.0,0.8,0.1333,0.1333,0.1333,0.0,0.0,0.8,-1.0,-1.0,0.0,0:00:01.277683
295_20210808234727.jpg,1,1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0:00:01.386734
159_20200724225946.jpg,8,11,0.2833,0.3567,0.3567,0.0,0.3239,-1.0,0.0,0.3818,0.3818,0.0,0.42,-1.0,-1.0,-1.0,0.0,0:00:01.486545
290_20210824030857.jpg,6,5,0.302,0.547,0.2079,-1.0,0.169,0.8,0.16,0.32,0.32,-1.0,0.2,0.8,-1.0,-1.0,0.0,0:00:01.598086
118_20200827000312.jpg,12,21,0.3053,0.5743,0.2888,0.0,0.3314,0.603,0.0429,0.2619,0.3286,0.0,0.3562,0.6,-1.0,-1.0,0.0,0:00:01.704929
213_20210826223312.jpg,4,3,0.6495,1.0,0.6634,-1.0,0.5,0.7252,0.2333,0.6667,0.6667,-1.0,0.5,0.75,-1.0,-1.0,0.0,0:00:01.816907
126_20200730222546.jpg,12,10,0.4772,0.6868,0.5096,-1.0,0.2929,0.8554,0.08,0.47,0.57,-1.0,0.4286,0.9,-1.0,-1.0,0.0,0:00:01.915774
268_20210818231311.jpg,2,2,0.5515,1.0,0.505,-1.0,-1.0,0.5515,0.35,0.55,0.55,-1.0,-1.0,0.55,-1.0,-1.0,0.0,0:00:02.027367
283_20210908073727.jpg,7,1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0:00:02.135182
290_20211005163135.jpg,1,1,0.6,1.0,1.0,-1.0,-1.0,0.6,0.6,0.6,0.6,-1.0,-1.0,0.6,-1.0,-1.0,0.0,0:00:02.241715
150_20200702003247.jpg,9,6,0.346,1.0,0.3366,-1.0,0.18,0.6505,0.1167,0.3667,0.3667,-1.0,0.225,0.65,-1.0,-1.0,0.0,0:00:02.337356
294_20210811051228.jpg,9,12,0.1015,0.1954,0.0891,-1.0,0.0188,0.9,0.075,0.1083,0.1083,-1.0,0.0364,0.9,-1.0,-1.0,0.0,0:00:02.456479
255_20210916003900.jpg,3,2,0.503,1.0,0.505,-1.0,-1.0,0.503,0.4,0.5,0.5,-1.0,-1.0,0.5,-1.0,-1.0,0.0,0:00:02.566082
255_20210829002654.jpg,2,2,0.6505,1.0,1.0,-1.0,-1.0,0.6505,0.35,0.65,0.65,-1.0,-1.0,0.65,-1.0,-1.0,0.0,0:00:02.680774
267_20210726213356.jpg,1,1,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0:00:02.782874
245_20210903231809.jpg,2,2,0.5535,1.0,0.505,-1.0,-1.0,0.5535,0.45,0.55,0.55,-1.0,-1.0,0.55,-1.0,-1.0,0.0,0:00:02.893837
296_20210808000033.jpg,1,1,0.7,1.0,1.0,-1.0,-1.0,0.7,0.7,0.7,0.7,-1.0,-1.0,0.7,-1.0,-1.0,0.0,0:00:03.004144
294_20210811004612.jpg,5,9,0.0307,0.1139,0.0,-1.0,0.0307,-1.0,0.0,0.0667,0.0667,-1.0,0.0667,-1.0,-1.0,-1.0,0.0,0:00:03.111493
292_20210904012413.jpg,2,2,0.801,1.0,1.0,-1.0,-1.0,0.801,0.45,0.8,0.8,-1.0,-1.0,0.8,-1.0,-1.0,0.0,0:00:03.221626
105_20200911142338.jpg,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0:00:03.302985
271_20210919223002.jpg,3,2,0.701,1.0,1.0,-1.0,-1.0,0.701,0.4,0.7,0.7,-1.0,-1.0,0.7,-1.0,-1.0,0.0,0:00:03.412968
170_20200626030423.jpg,17,27,0.3472,0.6238,0.319,-1.0,0.1802,0.7658,0.0333,0.2593,0.3667,-1.0,0.225,0.7714,-1.0,-1.0,0.0,0:00:03.520275
266_20210722014639.jpg,6,5,0.2453,0.901,0.0,-1.0,0.2453,-1.0,0.06,0.3,0.3,-1.0,0.3,-1.0,-1.0,-1.0,0.0,0:00:03.630007
145_20200702004712.jpg,4,3,0.4337,1.0,0.3366,-1.0,0.2515,0.8,0.2667,0.4333,0.4333,-1.0,0.25,0.8,-1.0,-1.0,0.0,0:00:03.728027
220_20210921201539.jpg,1,1,0.2,1.0,0.0,-1.0,-1.0,0.2,0.2,0.2,0.2,-1.0,-1.0,0.2,-1.0,-1.0,0.0,0:00:03.836785
252_20210912112636.jpg,2,1,0.3,1.0,0.0,-1.0,-1.0,0.3,0.3,0.3,0.3,-1.0,-1.0,0.3,-1.0,-1.0,0.0,0:00:03.942117
149_20200728221648.jpg,5,7,0.1936,0.7129,0.0743,-1.0,0.2297,-1.0,0.0286,0.2286,0.2286,-1.0,0.2286,-1.0,-1.0,-1.0,0.0,0:00:04.038355
252_20210802033447.jpg,6,4,0.3579,0.5644,0.2525,0.0,0.5,0.5333,0.0,0.525,0.525,0.0,0.5,0.8,-1.0,-1.0,0.0,0:00:04.151464
126_20200809023105.jpg,196,177,0.3897,0.5417,0.4828,-1.0,0.2912,0.6958,0.004,0.0463,0.4192,-1.0,0.3187,0.7326,-1.0,-1.0,0.0,0:00:04.597457
292_20210925000628.jpg,2,2,0.4545,0.505,0.505,-1.0,0.0,0.9,0.45,0.45,0.45,-1.0,0.0,0.9,-1.0,-1.0,0.0,0:00:04.706776
292_20210905021928.jpg,4,3,0.2347,0.6634,0.3366,-1.0,0.0,0.3525,0.2,0.2333,0.2333,-1.0,0.0,0.35,-1.0,-1.0,0.0,0:00:04.817761
178_20200703002934.jpg,10,11,0.7001,0.803,0.7228,-1.0,0.2462,0.9545,0.0909,0.7091,0.7091,-1.0,0.275,0.9571,-1.0,-1.0,0.0,0:00:04.915963
118_20200825063408.jpg,3,2,0.1586,0.6667,0.0,-1.0,0.1586,-1.0,0.0,0.25,0.25,-1.0,0.25,-1.0,-1.0,-1.0,0.0,0:00:05.017140
